"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","directors","writers","DirAvgScore","DirAvgVotes","WriteAvgScore","WriteAvgVotes","isDrama","isSport","isRomance","isComedy","isAdventure","isHistory","isAction","isBiography","isCrime","isMystery","isWar","isSci-Fi","isFantasy","isThriller","isHorror","isAnimation","isMusic","isFamily","isMusical","isDocumentary","isNews","isWestern"
"1","tt0035423","movie","kate-&-leopold","kate-&-leopold",0,2001,"\N",118,"Comedy,Fantasy,Romance",6.4,82730,"nm0003506","nm0737216,nm0003506",8,436318.666666667,8,436318.666666667,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","tt0053459","movie","eyes-without-a-face","les-yeux-sans-visage",0,1960,"\N",90,"Drama,Horror",7.7,30515,"nm0290802","nm0715118,nm0092267,nm0092268,nm0767110,nm0309039",7.7,30515,7.7,30515,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","tt0053472","movie","breathless","ã€-bout-de-souffle",0,1960,"\N",90,"Crime,Drama",7.8,78788,"nm0000419","nm0000076,nm0000419,nm0001031",7.75,43258.25,7.5,11394,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","tt0053580","movie","the-alamo","the-alamo",0,1960,"\N",162,"Adventure,Drama,History",6.8,15573,"nm0000078","nm0335455",7.43333333333333,45271,6.85,12242,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","tt0053604","movie","the-apartment","the-apartment",0,1960,"\N",125,"Comedy,Drama,Romance",8.3,175702,"nm0000697","nm0000697,nm0224634",8.3,175702,7.7,93750,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","tt0053619","movie","l'avventura","l'avventura",0,1960,"\N",144,"Drama,Mystery,Romance",7.8,28778,"nm0000774","nm0000774,nm0059026,nm0346096",7.66666666666667,37395.6666666667,7.76666666666667,43865.6666666667,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","tt0053677","movie","the-brides-of-dracula","the-brides-of-dracula",0,1960,"\N",85,"Horror",6.7,7514,"nm0279807","nm0762727,nm0116999,nm0672906,nm0385573",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","tt0053719","movie","the-city-of-the-dead","the-city-of-the-dead",0,1960,"\N",78,"Horror,Mystery,Thriller",6.8,7198,"nm0610303","nm0836988,nm0062658",NA,NA,6.8,7198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","tt0053779","movie","la-dolce-vita","la-dolce-vita",0,1960,"\N",174,"Comedy,Drama",8,71167,"nm0000019","nm0000019,nm0280919,nm0684083,nm0740021,nm0001596",7.95,78906.5,6.5,34426,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","tt0053793","movie","elmer-gantry","elmer-gantry",0,1960,"\N",146,"Drama",7.8,11306,"nm0112218","nm0112218,nm0507760",7.85,18690.5,7.8,11306,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
