"","file","name","tconst"
"1","10-Things-I-Hate-About-You.txt","10-things-i-hate-about-you","tt0147800"
"3","12-Monkeys.txt","12-monkeys","tt0114746"
"4","12-Years-a-Slave.txt","12-years-a-slave","tt2024544"
"5","12.txt","12","tt0488478"
"6","127-Hours.txt","127-hours","tt1542344"
"8","15-Minutes.txt","15-minutes","tt0179626"
"9","17-Again.txt","17-again","tt0974661"
"12","2012.txt","2012","tt1190080"
"13","25th-Hour.txt","25th-hour","tt0307901"
"15","30-Minutes-or-Less.txt","30-minutes-or-less","tt1622547"
"16","42.txt","42","tt0453562"
"20","500-Days-of-Summer.txt","500-days-of-summer","tt1022603"
"21","8MM.txt","8mm","tt0134273"
"22","9.txt","9","tt0472033"
"23","A-Few-Good-Men.txt","a-few-good-men","tt0104257"
"24","A-Most-Violent-Year.txt","a-most-violent-year","tt2937898"
"25","A-Prayer-Before-Dawn.txt","a-prayer-before-dawn","tt4080956"
"26","A-Quiet-Place.txt","a-quiet-place","tt6644200"
"27","A-Scanner-Darkly.txt","a-scanner-darkly","tt0405296"
"28","A-Serious-Man.txt","a-serious-man","tt1019452"
"29","Above-the-Law.txt","above-the-law","tt0094602"
"30","Absolute-Power.txt","absolute-power","tt0118548"
"31","Abyss,-The.txt","the-abyss","tt0096754"
"34","Addams-Family,-The.txt","the-addams-family","tt0101272"
"35","Adjustment-Bureau,-The.txt","the-adjustment-bureau","tt1385826"
"37","Affliction.txt","affliction","tt0118564"
"39","After.Life.txt","after.life","tt0838247"
"40","Agnes-of-God.txt","agnes-of-god","tt0088683"
"41","Air-Force-One.txt","air-force-one","tt0118571"
"44","Aladdin.txt","aladdin","tt0103639"
"45","Ali.txt","ali","tt0248667"
"46","Alien-3.txt","alien-3","tt0103644"
"47","Alien-Nation.txt","alien-nation","tt0094631"
"49","Alien-vs.-Predator.txt","alien-vs.-predator","tt0370263"
"50","Alien.txt","alien","tt0078748"
"51","Aliens.txt","aliens","tt0090605"
"53","All-About-Steve.txt","all-about-steve","tt0881891"
"54","All-the-King's-Men.txt","all-the-king's-men","tt0405676"
"55","All-the-President's-Men.txt","all-the-president's-men","tt0074119"
"56","Almost-Famous.txt","almost-famous","tt0181875"
"57","Alone-in-the-Dark.txt","alone-in-the-dark","tt0369226"
"58","Amadeus.txt","amadeus","tt0086879"
"59","Amelia.txt","amelia","tt1129445"
"60","American-Beauty.txt","american-beauty","tt0169547"
"61","American-Gangster.txt","american-gangster","tt0765429"
"62","American-Graffiti.txt","american-graffiti","tt0069704"
"63","American-History-X.txt","american-history-x","tt0120586"
"64","American-Hustle.txt","american-hustle","tt1800241"
"67","American-Outlaws.txt","american-outlaws","tt0244000"
"68","American-Pie.txt","american-pie","tt0163651"
"69","American-President,-The.txt","the-american-president","tt0112346"
"70","American-Psycho.txt","american-psycho","tt0144084"
"72","American-Sniper.txt","american-sniper","tt2179136"
"73","American-Splendor.txt","american-splendor","tt0305206"
"75","American,-The.txt","the-american","tt1440728"
"77","Amour.txt","amour","tt1602620"
"78","An-Education.txt","an-education","tt1174732"
"80","Analyze-This.txt","analyze-this","tt0122933"
"81","Anastasia.txt","anastasia","tt0118617"
"82","Angel-Eyes.txt","angel-eyes","tt0225071"
"83","Anna-Karenina.txt","anna-karenina","tt1781769"
"85","Anniversary-Party,-The.txt","the-anniversary-party","tt0254099"
"86","Anonymous.txt","anonymous","tt1521197"
"88","Antz.txt","antz","tt0120587"
"90","Apocalypse-Now.txt","apocalypse-now","tt0078788"
"91","Apollo-13.txt","apollo-13","tt0112384"
"92","April-Fool's-Day.txt","april-fool's-day","tt0090655"
"94","Arbitrage.txt","arbitrage","tt1764183"
"97","Argo.txt","argo","tt1024648"
"98","Armageddon.txt","armageddon","tt0120591"
"99","Army-of-Darkness.txt","army-of-darkness","tt0106308"
"101","Arthur.txt","arthur","tt1334512"
"102","Artist,-The.txt","the-artist","tt1655442"
"103","As-Good-As-It-Gets.txt","as-good-as-it-gets","tt0119822"
"104","Assassins.txt","assassins","tt0112401"
"105","Assignment,-The.txt","the-assignment","tt0118647"
"111","Autumn-in-New-York.txt","autumn-in-new-york","tt0174480"
"112","Avatar.txt","avatar","tt0499549"
"116","Awakenings.txt","awakenings","tt0099077"
"117","Babe.txt","babe","tt0112431"
"119","Bachelor-Party.txt","bachelor-party","tt0086927"
"120","Back-up-Plan,-The.txt","the-back-up-plan","tt1212436"
"122","Bad-Boys.txt","bad-boys","tt0112442"
"123","Bad-Country.txt","bad-country","tt2350892"
"127","Bad-Santa.txt","bad-santa","tt0307987"
"128","Bad-Teacher.txt","bad-teacher","tt1284575"
"129","Badlands.txt","badlands","tt0069762"
"130","Bamboozled.txt","bamboozled","tt0215545"
"131","Barry-Lyndon.txt","barry-lyndon","tt0072684"
"132","Barton-Fink.txt","barton-fink","tt0101410"
"134","Basic.txt","basic","tt0264395"
"137","Batman.txt","batman","tt0096895"
"138","Battle-Los-Angeles.txt","battle-los-angeles","tt1217613"
"139","Battle-of-Algiers,-The.txt","the-battle-of-algiers","tt0058946"
"141","Beach,-The.txt","the-beach","tt0163978"
"142","Bean.txt","bean","tt0118689"
"143","Beasts-of-No-Nation.txt","beasts-of-no-nation","tt1365050"
"144","Beasts-of-the-Southern-Wild.txt","beasts-of-the-southern-wild","tt2125435"
"146","Beavis-and-Butt-head-Do-America.txt","beavis-and-butt-head-do-america","tt0115641"
"147","Beginners.txt","beginners","tt1532503"
"150","Being-There.txt","being-there","tt0078841"
"151","Believer,-The.txt","the-believer","tt0247199"
"152","Belle.txt","belle","tt2404181"
"153","Beloved.txt","beloved","tt0120603"
"154","Best-Exotic-Marigold-Hotel,-The.txt","the-best-exotic-marigold-hotel","tt1412386"
"155","Big-Blue,-The.txt","the-big-blue","tt0095250"
"156","Big-Eyes.txt","big-eyes","tt1126590"
"158","Big-Lebowski,-The.txt","the-big-lebowski","tt0118715"
"159","Big-Sick,-The.txt","the-big-sick","tt5462602"
"160","Big-White,-The.txt","the-big-white","tt0402850"
"161","Big.txt","big","tt0094737"
"163","Birds,-The.txt","the-birds","tt0056869"
"165","Black-Dahlia,-The.txt","the-black-dahlia","tt0387877"
"166","Black-Panther.txt","black-panther","tt1825683"
"167","Black-Rain.txt","black-rain","tt0096933"
"168","Black-Snake-Moan.txt","black-snake-moan","tt0462200"
"169","Black-Swan.txt","black-swan","tt0947798"
"170","BlacKkKlansman.txt","blackkklansman","tt7349662"
"171","Blade-II.txt","blade-ii","tt0187738"
"172","Blade-Runner.txt","blade-runner","tt0083658"
"174","Blade.txt","blade","tt0120611"
"176","Blind-Side,-The.txt","the-blind-side","tt0878804"
"177","Bling-Ring,-The.txt","the-bling-ring","tt2132285"
"178","Blood-and-Wine.txt","blood-and-wine","tt0115710"
"179","Blood-Simple.txt","blood-simple","tt0086979"
"180","Blow.txt","blow","tt0221027"
"181","Blue-Valentine.txt","blue-valentine","tt1120985"
