"","nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"5","nm0000005","Ingmar Bergman","1918","2007","writer,director,actor","tt0083922,tt0050986,tt0069467,tt0060827"
"8","nm0000008","Marlon Brando","1924","2004","actor,soundtrack,director","tt0068646,tt0070849,tt0078788,tt0047296"
"19","nm0000019","Federico Fellini","1920","1993","writer,director,assistant_director","tt0050783,tt0071129,tt0047528,tt0056801"
"33","nm0000033","Alfred Hitchcock","1899","1980","director,producer,actor","tt0052357,tt0053125,tt0054215,tt0056869"
"37","nm0000037","Gene Kelly","1912","1996","soundtrack,actor,director","tt0043278,tt0041716,tt0045152,tt0053946"
"40","nm0000040","Stanley Kubrick","1928","1999","writer,director,producer","tt0072684,tt0066921,tt0062622,tt0120663"
"41","nm0000041","Akira Kurosawa","1910","1998","writer,director,assistant_director","tt0051808,tt0089881,tt0047478,tt0080979"
"45","nm0000045","Bruce Lee","1940","1973","actor,writer,miscellaneous","tt0068935,tt0070034,tt0067824,tt0068767"
"76","nm0000076","François Truffaut","1932","1984","writer,director,producer","tt0055032,tt0070460,tt0075860,tt0053198"
"78","nm0000078","John Wayne","1907","1979","actor,producer,soundtrack","tt0056217,tt0065126,tt0053580,tt0031971"
"80","nm0000080","Orson Welles","1915","1985","actor,director,writer","tt0040525,tt0052311,tt0038991,tt0033467"
"86","nm0000086","Louis de Funès","1914","1983","actor,writer,soundtrack","tt0064425,tt0074103,tt0069747,tt0079200"
"91","nm0000091","Gérard Pirès","1942","\N","director,writer,actor","tt0282552,tt0152930,tt0064297,tt0374627"
"92","nm0000092","John Cleese","1939","\N","actor,writer,producer","tt0063929,tt0095159,tt0085959,tt0071853"
"95","nm0000095","Woody Allen","1935","\N","writer,director,actor","tt0091167,tt0097123,tt0079522,tt0075686"
"100","nm0000100","Rowan Atkinson","1955","\N","actor,writer,producer","tt1634122,tt0274166,tt0110357,tt0118689"
"101","nm0000101","Dan Aykroyd","1952","\N","writer,actor,producer","tt0080455,tt0087332,tt0118747,tt0097428"
"106","nm0000106","Drew Barrymore","1975","\N","producer,actress,soundtrack","tt0120631,tt0343660,tt0151738,tt0160127"
"108","nm0000108","Luc Besson","1959","\N","writer,producer,director","tt2872732,tt0100263,tt0110413,tt0119116"
"110","nm0000110","Kenneth Branagh","1960","\N","actor,producer,director","tt0116477,tt0097499,tt0107616,tt3402236"
"114","nm0000114","Steve Buscemi","1957","\N","actor,producer,director","tt0116282,tt4686844,tt0105236,tt0162346"
"116","nm0000116","James Cameron","1954","\N","writer,producer,director","tt0499549,tt0090605,tt0103064,tt0120338"
"118","nm0000118","John Carpenter","1948","\N","soundtrack,writer,composer","tt0077651,tt0080749,tt0096256,tt0082340"
"120","nm0000120","Jim Carrey","1962","\N","actor,writer,producer","tt0315327,tt0109040,tt0338013,tt0110475"
"122","nm0000122","Charles Chaplin","1889","1977","writer,soundtrack,actor","tt0018773,tt0027977,tt0032553,tt0044837"
"123","nm0000123","George Clooney","1961","\N","actor,producer,director","tt0433383,tt1193138,tt1124035,tt0465538"
"126","nm0000126","Kevin Costner","1955","\N","actor,producer,soundtrack","tt0102798,tt0099348,tt0103855,tt0119925"
"127","nm0000127","Wes Craven","1939","2015","writer,producer,director","tt0087800,tt0105121,tt0117571,tt0111686"
"128","nm0000128","Russell Crowe","1964","\N","actor,soundtrack,producer","tt0172495,tt0268978,tt1707386,tt0119488"
"129","nm0000129","Tom Cruise","1962","\N","actor,producer,soundtrack","tt0325710,tt0092099,tt0116695,tt0120755"
"131","nm0000131","John Cusack","1966","\N","actor,producer,writer","tt0098258,tt0450385,tt0146882,tt0119229"
"134","nm0000134","Robert De Niro","1943","\N","actor,producer,soundtrack","tt0075314,tt0081398,tt0101540,tt0077416"
"136","nm0000136","Johnny Depp","1963","\N","actor,producer,soundtrack","tt0408236,tt0367594,tt0325980,tt0449088"
"141","nm0000141","David Duchovny","1960","\N","actor,producer,director","tt0443701,tt0106179,tt0904208,tt0120902"
"142","nm0000142","Clint Eastwood","1930","\N","actor,producer,director","tt1205489,tt0105695,tt0405159,tt0112579"
"144","nm0000144","Cary Elwes","1962","\N","actor,producer,director","tt0387564,tt0107977,tt0119468,tt0093779"
"146","nm0000146","Ralph Fiennes","1962","\N","actor,director,producer","tt0387131,tt2278388,tt1201607,tt0108052"
"149","nm0000149","Jodie Foster","1962","\N","actress,director,producer","tt0118884,tt0476964,tt0102926,tt0075314"
"154","nm0000154","Mel Gibson","1956","\N","actor,producer,director","tt0104714,tt0117438,tt0112573,tt0118883"
"158","nm0000158","Tom Hanks","1956","\N","producer,actor,soundtrack","tt0162222,tt0094737,tt0109830,tt0112384"
"160","nm0000160","Ethan Hawke","1970","\N","actor,writer,producer","tt2209418,tt0381681,tt0139654,tt0112471"
"163","nm0000163","Dustin Hoffman","1937","\N","actor,producer,soundtrack","tt0095953,tt0061722,tt0064665,tt0084805"
"165","nm0000165","Ron Howard","1954","\N","actor,producer,writer","tt0367279,tt0088933,tt0112384,tt0268978"
"166","nm0000166","Helen Hunt","1963","\N","actress,producer,director","tt0103484,tt0162222,tt0119822,tt0117998"
"169","nm0000169","Tommy Lee Jones","1946","\N","actor,director,soundtrack","tt0106977,tt0443272,tt2398231,tt0477348"
"175","nm0000175","Stephen King","1947","\N","writer,producer,actor","tt0111161,tt0083767,tt0324864,tt0091499"
"180","nm0000180","David Lean","1908","1991","editor,director,writer","tt0050212,tt0059113,tt0056172,tt0087892"
