"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","name"
"30-minutes-or-less",128,125,100,165,97,132,83,150,297,258,"30-minutes-or-less"
"48-hrs",112,96,69,132,75,99,63,118,236,192,"48-hrs"
"a-most-violent-year",106,103,63,137,75,104,51,146,243,238,"a-most-violent-year"
"absolute-power",122,113,79,148,109,132,80,154,261,266,"absolute-power"
"air-force-one",140,112,80,188,81,135,79,179,323,297,"air-force-one"
"airplane",76,110,64,118,86,100,64,136,208,214,"airplane"
"alien-3",125,103,99,166,70,123,57,123,309,242,"alien-3"
"alien-resurrection",140,84,105,187,71,126,67,110,316,216,"alien-resurrection"
"alien-vs-predator",174,116,126,243,74,161,99,134,417,273,"alien-vs-predator"
"american-hustle",121,122,92,144,120,116,76,169,271,299,"american-hustle"
"american-sniper",150,147,98,201,118,135,83,176,334,296,"american-sniper"
"american-werewolf-in-london",131,100,91,175,83,133,71,118,295,217,"american-werewolf-in-london"
"apocalypse-now",146,134,109,202,110,138,90,182,343,313,"apocalypse-now"
"arctic-blue",149,126,126,194,93,165,77,141,385,279,"arctic-blue"
"armageddon",136,123,98,174,91,125,88,164,309,275,"armageddon"
"army-of-darkness",124,76,86,159,58,104,77,87,269,170,"army-of-darkness"
"as-good-as-it-gets",119,122,95,155,127,145,86,156,296,309,"as-good-as-it-gets"
"assassins",92,90,61,120,67,91,56,119,243,208,"assassins"
"austin-powers-international-man-of-mystery",114,117,82,158,105,123,78,144,286,278,"austin-powers-international-man-of-mystery"
"avatar",178,150,122,243,117,173,109,196,430,353,"avatar"
"backdraft",150,119,126,198,107,163,91,152,363,268,"backdraft"
"bad-boys",112,101,102,143,91,112,79,150,278,250,"bad-boys"
"bad-country",141,100,102,196,70,134,74,156,341,241,"bad-country"
"batman-2",211,181,129,264,146,188,136,223,487,412,"batman-2"
"batman",206,187,135,265,154,184,141,227,467,403,"batman"
"battle-los-angeles",96,88,58,161,66,96,69,116,252,200,"battle-los-angeles"
"belle",126,143,100,152,138,156,78,201,310,352,"belle"
"birdman",118,113,85,131,99,111,68,131,253,238,"birdman"
"black-rain",121,94,78,143,89,123,66,122,271,227,"black-rain"
"blade-ii",184,128,134,249,94,161,98,155,413,276,"blade-ii"
"blade-runner",125,138,92,195,121,140,89,179,339,330,"blade-runner"
"blade",181,143,145,258,107,172,100,172,433,311,"blade"
"bonnie-and-clyde",166,160,122,205,141,162,99,189,371,350,"bonnie-and-clyde"
"boondock-saints-2-all-saints-day",157,137,102,201,116,127,94,192,345,328,"boondock-saints-2-all-saints-day"
"boyhood",101,128,78,121,137,103,80,166,228,308,"boyhood"
"broken-arrow",101,86,63,137,59,89,65,106,221,175,"broken-arrow"
"broken-embraces",173,179,124,227,163,195,119,235,435,438,"broken-embraces"
"bruce-almighty",119,149,94,173,151,127,97,194,283,347,"bruce-almighty"
"catwoman",162,143,130,199,106,166,105,169,381,312,"catwoman"
"cinema-paradiso",167,152,121,233,135,198,110,182,418,344,"cinema-paradiso"
"clash-of-the-titans",206,170,149,268,146,197,124,214,458,387,"clash-of-the-titans"
