"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","unid"
"21538","tt0021884","movie","frankenstein","frankenstein","0","1931","\N","70","Drama,Horror,Sci-Fi","frankenstein 1931"
"22580","tt0022958","movie","grand-hotel","grand-hotel","0","1932","\N","112","Drama,Romance","grand-hotel 1932"
"24887","tt0025316","movie","it-happened-one-night","it-happened-one-night","0","1934","\N","105","Comedy,Romance","it-happened-one-night 1934"
"31167","tt0031725","movie","ninotchka","ninotchka","0","1939","\N","110","Comedy,Romance","ninotchka 1939"
"44121","tt0044907","movie","les-miserables","les-miserables","0","1952","\N","105","Adventure,Drama,History","les-miserables 1952"
"60238","tt0061418","movie","bonnie-and-clyde","bonnie-and-clyde","0","1967","\N","111","Action,Biography,Crime","bonnie-and-clyde 1967"
"70112","tt0071571","movie","gone-in-60-seconds","gone-in-60-seconds","0","1974","\N","105","Action,Crime,Drama","gone-in-60-seconds 1974"
"73751","tt0075314","movie","taxi-driver","taxi-driver","0","1976","\N","114","Crime,Drama","taxi-driver 1976"
"77136","tt0078788","movie","apocalypse-now","apocalypse-now","0","1979","\N","147","Drama,Mystery,War","apocalypse-now 1979"
"79034","tt0080745","movie","flash-gordon","flash-gordon","0","1980","\N","111","Action,Adventure,Sci-Fi","flash-gordon 1980"
"80437","tt0082198","movie","conan-the-barbarian","conan-the-barbarian","0","1982","\N","129","Action,Adventure,Fantasy","conan-the-barbarian 1982"
"81857","tt0083658","movie","blade-runner","blade-runner","0","1982","\N","117","Action,Drama,Sci-Fi","blade-runner 1982"
"82992","tt0084827","movie","tron","tron","0","1982","\N","96","Action,Adventure,Sci-Fi","tron 1982"
"85281","tt0087182","movie","dune","dune","0","1984","\N","137","Action,Adventure,Sci-Fi","dune 1984"
"85563","tt0087469","movie","indiana-jones-and-the-temple-of-doom","indiana-jones-and-the-temple-of-doom","0","1984","\N","118","Action,Adventure","indiana-jones-and-the-temple-of-doom 1984"
