"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"4121","tt0004167","movie","jane-eyre","jane-eyre","0","1914","\N","50","Drama"
"7247","tt0007338","movie","sherlock-holmes","sherlock-holmes","0","1916","\N","116","Mystery"
"12155","tt0012329","movie","jane-eyre","jane-eyre","0","1921","\N","70","Drama"
"13396","tt0013597","movie","sherlock-holmes","sherlock-holmes","0","1922","\N","85","Drama,Mystery"
"21538","tt0021884","movie","frankenstein","frankenstein","0","1931","\N","70","Drama,Horror,Sci-Fi"
"22580","tt0022958","movie","grand-hotel","grand-hotel","0","1932","\N","112","Drama,Romance"
"23068","tt0023460","movie","sherlock-holmes","sherlock-holmes","0","1932","\N","68","Drama"
"23807","tt0024216","movie","king-kong","king-kong","0","1933","\N","100","Adventure,Horror,Sci-Fi"
"24887","tt0025316","movie","it-happened-one-night","it-happened-one-night","0","1934","\N","105","Comedy,Romance"
"24894","tt0025323","movie","jane-eyre","jane-eyre","0","1934","\N","62","Drama,Romance"
"27141","tt0027623","movie","flash-gordon","flash-gordon","0","1936","\N","245","Action,Adventure,Family"
"31167","tt0031725","movie","ninotchka","ninotchka","0","1939","\N","110","Comedy,Romance"
"32628","tt0033214","movie","up-in-the-air","up-in-the-air","0","1940","\N","62","Mystery"
"35044","tt0035665","movie","batman","batman","0","1943","\N","260","Action,Crime,Family"
"35810","tt0036443","movie","titanic","titanic","0","1943","\N","85","Action,Drama,History"
"36328","tt0036969","movie","jane-eyre","jane-eyre","0","1943","\N","97","Drama,Romance"
"40256","tt0040963","movie","whiplash","whiplash","0","1948","\N","91","Drama,Film-Noir,Sport"
"41554","tt0042286","movie","broken-arrow","broken-arrow","0","1950","\N","93","Drama,Romance,Western"
"44121","tt0044907","movie","les-miserables","les-miserables","0","1952","\N","105","Adventure,Drama,History"
"44444","tt0045237","movie","thunderbirds","thunderbirds","0","1952","\N","98","Adventure,Drama,Romance"
"45619","tt0046435","movie","titanic","titanic","0","1953","\N","98","Drama,History,Romance"
"46712","tt0047561","movie","taxi-driver","taxi-driver","0","1954","\N","133","Musical,Romance"
"49694","tt0050595","movie","code-of-silence","code-of-silence","0","1960","\N","75","Crime,Drama"
"59644","tt0060807","movie","out-of-sight","out-of-sight","0","1966","\N","87","Comedy"
"60238","tt0061418","movie","bonnie-and-clyde","bonnie-and-clyde","0","1967","\N","111","Action,Biography,Crime"
"60846","tt0062047","movie","wanted","wanted","0","1967","\N","107","Action,Drama,Romance"
"62772","tt0064039","movie","armageddon","armageddon","0","1969","\N","\N","Action,Sci-Fi"
"63866","tt0065159","movie","up-in-the-air","up-in-the-air","0","1969","\N","55","Comedy,Family"
"65793","tt0067128","movie","get-carter","get-carter","0","1971","\N","112","Action,Crime,Thriller"
"67322","tt0068688","movie","heat","heat","0","1972","\N","102","Comedy,Drama,Romance"
"68396","tt0069797","movie","blade","blade","0","1973","\N","90","Mystery,Thriller"
"69450","tt0070895","movie","walking-tall","walking-tall","0","1973","\N","125","Action,Biography,Crime"
"69913","tt0071367","movie","crash","crash","0","1974","\N","90","Drama"
"70112","tt0071571","movie","gone-in-60-seconds","gone-in-60-seconds","0","1974","\N","105","Action,Crime,Drama"
"71666","tt0073165","movie","independence-day","independence-day","0","1976","\N","87","Drama"
"73203","tt0074751","movie","king-kong","king-kong","0","1976","\N","134","Adventure,Horror"
"73751","tt0075314","movie","taxi-driver","taxi-driver","0","1976","\N","114","Crime,Drama"
"75785","tt0077402","movie","dawn-of-the-dead","dawn-of-the-dead","0","1978","\N","127","Horror,Thriller"
"77136","tt0078788","movie","apocalypse-now","apocalypse-now","0","1979","\N","147","Drama,Mystery,War"
"78898","tt0080605","movie","defiance","defiance","0","1980","\N","103","Action,Crime,Drama"
"79034","tt0080745","movie","flash-gordon","flash-gordon","0","1980","\N","111","Action,Adventure,Sci-Fi"
"80426","tt0082186","movie","clash-of-the-titans","clash-of-the-titans","0","1981","\N","118","Action,Adventure,Family"
"80437","tt0082198","movie","conan-the-barbarian","conan-the-barbarian","0","1982","\N","129","Action,Adventure,Fantasy"
"81857","tt0083658","movie","blade-runner","blade-runner","0","1982","\N","117","Action,Drama,Sci-Fi"
"82992","tt0084827","movie","tron","tron","0","1982","\N","96","Action,Adventure,Sci-Fi"
"83364","tt0085210","movie","bad-boys","bad-boys","0","1983","\N","123","Crime,Drama,Thriller"
"83861","tt0085724","movie","independence-day","independence-day","0","1983","\N","110","Drama,Romance"
"84350","tt0086222","movie","rush","rush","0","1983","\N","77","Adventure,Sci-Fi"
"85281","tt0087182","movie","dune","dune","0","1984","\N","137","Action,Adventure,Sci-Fi"
"85563","tt0087469","movie","indiana-jones-and-the-temple-of-doom","indiana-jones-and-the-temple-of-doom","0","1984","\N","118","Action,Adventure"
"86282","tt0088206","movie","supergirl","supergirl","0","1984","\N","124","Action,Adventure,Fantasy"
"86991","tt0088936","movie","code-of-silence","code-of-silence","0","1985","\N","101","Action,Crime,Drama"
"86999","tt0088944","movie","commando","commando","0","1985","\N","90","Action,Adventure,Thriller"
"87176","tt0089122","movie","fair-game","fair-game","0","1986","\N","86","Action,Thriller"
"87512","tt0089469","movie","legend","legend","0","1985","\N","94","Adventure,Fantasy,Romance"
"91123","tt0093164","movie","heat","heat","0","1986","\N","101","Action,Crime,Drama"
"91172","tt0093213","movie","hostage","hostage","0","1986","\N","95","Action,Drama"
"91514","tt0093565","movie","moonstruck","moonstruck","0","1987","\N","102","Comedy,Drama,Romance"
"91715","tt0093773","movie","predator","predator","0","1987","\N","107","Action,Adventure,Horror"
"92932","tt0095016","movie","die-hard","die-hard","0","1988","\N","132","Action,Thriller"
"93209","tt0095301","movie","high-fidelity","high-fidelity","0","1989","\N","85","Biography,Documentary,Music"
"94203","tt0096320","movie","twins","twins","0","1988","\N","107","Comedy,Crime"
"94317","tt0096438","movie","who-framed-roger-rabbit","who-framed-roger-rabbit","0","1988","\N","104","Adventure,Animation,Comedy"
"94325","tt0096446","movie","willow","willow","0","1988","\N","126","Action,Adventure,Drama"
"94762","tt0096895","movie","batman","batman","0","1989","\N","126","Action,Adventure"
"94797","tt0096933","movie","black-rain","black-rain","0","1989","\N","125","Action,Crime,Thriller"
"95424","tt0097576","movie","indiana-jones-and-the-last-crusade","indiana-jones-and-the-last-crusade","0","1989","\N","127","Action,Adventure"
"98036","tt0100260","movie","nightbreed","nightbreed","0","1990","\N","102","Action,Fantasy,Horror"
"98687","tt0100935","movie","wild-at-heart","wild-at-heart","0","1990","\N","125","Comedy,Crime,Drama"
"99135","tt0101393","movie","backdraft","backdraft","0","1991","\N","137","Action,Crime,Drama"
"99511","tt0101773","movie","drive","drive","0","1991","\N","86","Drama"
"99801","tt0102070","movie","hudson-hawk","hudson-hawk","0","1991","\N","100","Action,Adventure,Comedy"
"100400","tt0102685","movie","point-break","point-break","0","1991","\N","122","Action,Crime,Thriller"
"100535","tt0102820","movie","rush","rush","0","1991","\N","120","Action,Crime,Drama"
"101772","tt0104073","movie","deep-cover","deep-cover","0","1992","\N","107","Action,Crime,Thriller"
"102041","tt0104346","movie","gladiator","gladiator","0","1992","\N","101","Action,Drama,Sport"
"102132","tt0104443","movie","hostage","hostage","0","1992","\N","98","Action,Drama,Thriller"
"102496","tt0104815","movie","el-mariachi","el-mariachi","0","1992","\N","81","Action,Crime,Thriller"
"102903","tt0105236","movie","reservoir-dogs","reservoir-dogs","0","1992","\N","99","Crime,Drama,Thriller"
"103937","tt0106303","movie","arctic-blue","arctic-blue","0","1993","\N","95","Action,Thriller"
"103942","tt0106308","movie","army-of-darkness","army-of-darkness","0","1992","\N","81","Comedy,Horror"
"104013","tt0106382","movie","belle","belle","0","1993","\N","99","Romance"
"104208","tt0106582","movie","cliffhanger","cliffhanger","0","1993","\N","113","Action,Adventure,Thriller"
"104452","tt0106834","movie","even-cowgirls-get-the-blues","even-cowgirls-get-the-blues","0","1993","\N","106","Comedy,Drama,Romance"
"104897","tt0107290","movie","jurassic-park","jurassic-park","0","1993","\N","127","Action,Adventure,Sci-Fi"
"105735","tt0108160","movie","sleepless-in-seattle","sleepless-in-seattle","0","1993","\N","105","Comedy,Drama,Romance"
"105928","tt0108358","movie","tombstone","tombstone","0","1993","\N","130","Action,Biography,Drama"
"105969","tt0108399","movie","true-romance","true-romance","0","1993","\N","119","Crime,Drama,Romance"
"107540","tt0110005","movie","heavenly-creatures","heavenly-creatures","0","1994","\N","99","Biography,Crime,Drama"
"108156","tt0110632","movie","natural-born-killers","natural-born-killers","0","1994","\N","118","Action,Crime,Drama"
"108228","tt0110706","movie","oblivion","oblivion","0","1994","\N","94","Adventure,Comedy,Crime"
"108409","tt0110889","movie","priest","priest","0","1994","\N","105","Drama,Romance"
"108432","tt0110912","movie","pulp-fiction","pulp-fiction","0","1994","\N","154","Crime,Drama"
"109011","tt0111503","movie","true-lies","true-lies","0","1994","\N","141","Action,Comedy,Thriller"
"109880","tt0112401","movie","assassins","assassins","0","1995","\N","133","Action,Crime,Thriller"
"109920","tt0112442","movie","bad-boys","bad-boys","0","1995","\N","119","Action,Comedy,Crime"
"110169","tt0112697","movie","clueless","clueless","0","1995","\N","97","Comedy,Romance"
"110475","tt0113010","movie","fair-game","fair-game","0","1995","\N","91","Action,Romance,Thriller"
"110701","tt0113243","movie","hackers","hackers","0","1995","\N","105","Crime,Drama,Romance"
"110735","tt0113277","movie","heat","heat","0","1995","\N","170","Action,Crime,Drama"
"110941","tt0113492","movie","judge-dredd","judge-dredd","0","1995","\N","96","Action,Crime,Sci-Fi"
"111070","tt0113627","movie","leaving-las-vegas","leaving-las-vegas","0","1995","\N","111","Drama,Romance"
"111974","tt0114558","movie","strange-days","strange-days","0","1995","\N","145","Crime,Drama,Sci-Fi"
"113129","tt0115759","movie","broken-arrow","broken-arrow","0","1996","\N","108","Action,Adventure,Thriller"
"113327","tt0115964","movie","crash","crash","0","1996","\N","100","Drama"
"113423","tt0116064","movie","deep-cover","deep-cover","0","1997","\N","108","Action,Adventure"
"113504","tt0116147","movie","drive","drive","0","1997","\N","100","Action,Adventure,Comedy"
"113967","tt0116629","movie","independence-day","independence-day","0","1996","\N","145","Action,Adventure,Sci-Fi"
"114018","tt0116684","movie","jane-eyre","jane-eyre","0","1996","\N","112","Drama,Romance"
"114029","tt0116695","movie","jerry-maguire","jerry-maguire","0","1996","\N","139","Comedy,Drama,Romance"
"115806","tt0118548","movie","absolute-power","absolute-power","0","1997","\N","121","Action,Crime,Drama"
"115827","tt0118571","movie","air-force-one","air-force-one","0","1997","\N","124","Action,Drama,Thriller"
"116196","tt0118956","movie","deep-rising","deep-rising","0","1998","\N","106","Action,Adventure,Horror"
"116600","tt0119381","movie","inventing-the-abbotts","inventing-the-abbotts","0","1997","\N","110","Drama,Romance"
"116843","tt0119643","movie","meet-joe-black","meet-joe-black","0","1998","\N","178","Drama,Fantasy,Romance"
"116852","tt0119654","movie","men-in-black","men-in-black","0","1997","\N","98","Action,Adventure,Comedy"
"116862","tt0119664","movie","metro","metro","0","1997","\N","117","Action,Comedy,Crime"
"117009","tt0119822","movie","as-good-as-it-gets","as-good-as-it-gets","0","1997","\N","139","Comedy,Drama,Romance"
"117362","tt0120188","movie","three-kings","three-kings","0","1999","\N","114","Action,Adventure,Comedy"
